id	char
703	妮
704	妹
705	姆
706	始
707	姐
708	姑
709	姓
710	委
711	姜
712	姥
713	姨
714	姿
715	威
716	娃
717	娇
718	娘
719	娜
720	娱
721	婆
722	婚
723	婪
724	媒
725	媲
726	嫉
727	子
728	孔
729	字
730	存
731	孝
732	季
733	孤
734	学
735	孩
736	孬
737	孺
738	宁
739	它
740	守
741	安
742	宋
743	完
744	宗
745	官
746	定
747	宜
748	宝
749	实
750	宠
751	审
752	客
753	宣
754	室
755	宰
756	害
757	宴
758	宵
759	家
760	容
761	宽
762	宿
763	寂
764	寄
765	密
766	富
767	寒
768	寞
769	察
770	寡
771	对
772	寻
773	导
774	寿
775	封
776	射
777	将
778	尊
779	尋
780	小
781	少
782	尔
783	尖
784	尘
785	尚
786	尝
787	尤
788	尬
789	就
790	尴
791	尼
792	尽
793	尾
794	局
795	屁
796	层
797	居
798	屈
799	屉
800	屋
801	屎
802	屏
803	屑
804	展
805	属
806	履
807	山
808	岁
809	岛
810	岳
811	岸
812	峨
813	峰
814	崇
815	崩
816	崽
817	嵌
818	巍
819	川
820	州
821	工
822	左
823	巧
824	巨
825	差
826	己
827	已
828	巴
829	巷
830	币
831	市
832	布
833	帅
834	帆
835	师
836	希
837	帐
838	帝
839	带
840	帧
841	席
842	帮
843	常
844	帽
845	幕
846	干
847	平
848	年
849	并
850	幸
851	幺
852	幻
853	幼
854	幽
855	广
856	庆
857	床
858	库
859	应
860	底
861	庖
862	店
863	府
864	废
865	度
866	座
867	庭
868	庸
869	延
870	建
871	开
872	异
873	弃
874	弄
875	弊
876	式
877	引
878	弟
879	张
880	弥
881	弦
882	弯
883	弱
884	弹
885	强
886	归
887	当
888	录
889	形
890	彩
891	彪
892	彰
893	影
894	彻
895	彼
896	往
897	征
898	待
899	很
900	律
901	得
902	循
903	微
904	德
905	心
906	必
907	忆
908	忌
909	忍
910	忏
911	忐
912	忑
913	志
914	忘
915	忙
916	忠
917	快
918	念
919	忽
920	怀
921	态
922	怂
923	怎
924	怒
925	怕
926	怜
927	思
928	怠
929	怡
930	急
931	性
932	怨
933	怪
934	怯
935	总
936	恋
937	恍
938	恐
939	恤
940	恨
941	恩
942	恬
943	恭
944	息
945	恰
946	恶
947	恼
948	恿
949	悄
950	悉
951	悔
952	悠
953	患
954	悦
955	悬
956	悲
957	情
958	惊
959	惑
960	惜
961	惟
962	惦
963	惧
964	惨
965	惩
966	惫
967	惮
968	惯
969	惰
970	想
971	惴
972	惹
973	惺
974	愈
975	愉
976	意
977	愚
978	感
979	愣
980	愤
981	愿
982	慈
983	慌
984	慑
985	慕
986	慢
987	慨
988	慵
989	憋
990	憾
991	懂
992	懈
993	懒
994	懦
995	懵
996	戈
997	戎
998	戏
999	成
1000	我
1001	戒
1002	或
1003	战
1004	戚
1005	戳
1006	戴
1007	户
1008	房
1009	所
1010	扁
1011	扇
1012	手
1013	才
1014	扎
1015	扑
